Node,ObjVal
95001.0,1e+20
95002.0,0.7718787287822124
95003.0,1e+20
95004.0,1e+20
95005.0,0.0
95006.0,1e+20
95007.0,1e+20
95008.0,1e+20
95009.0,1e+20
95010.0,1e+20
95011.0,1e+20
95012.0,0.0
95013.0,0.0
95014.0,0.0
95015.0,1e+20
95016.0,1e+20
95017.0,1e+20
95018.0,1e+20
95019.0,1e+20
95020.0,1e+20
95021.0,1e+20
95022.0,-4.547473508864641e-13
95023.0,0.0
95024.0,0.0
95025.0,1e+20
95026.0,1e+20
95027.0,1e+20
95028.0,1e+20
95029.0,0.0
95030.0,0.0
95031.0,0.0
95032.0,1e+20
95033.0,0.0
95034.0,0.0
95035.0,0.0
95036.0,0.0
95037.0,1e+20
95038.0,0.0
95039.0,1e+20
95040.0,1e+20
95041.0,0.0
95042.0,0.0
95043.0,1e+20
95044.0,0.0
95045.0,1e+20
95046.0,0.0
95047.0,1.7454245973644902
95048.0,1e+20
95049.0,1.797073380675556
95050.0,1e+20
95051.0,1e+20
95052.0,1e+20
95053.0,0.0
95054.0,0.0
95055.0,1e+20
95056.0,1e+20
95057.0,1e+20
95058.0,1e+20
95059.0,1e+20
95060.0,1e+20
95061.0,1e+20
95062.0,1e+20
95063.0,0.0
95064.0,1e+20
95065.0,0.0
95066.0,0.0
95067.0,1e+20
95068.0,0.0
95069.0,0.0
95070.0,1e+20
95071.0,1e+20
95072.0,1e+20
95073.0,1e+20
95074.0,1e+20
95075.0,1e+20
95076.0,0.0
95077.0,1e+20
95078.0,0.0
95079.0,1e+20
95080.0,1e+20
95081.0,1e+20
95082.0,0.0
95083.0,0.0
95084.0,0.0
95085.0,0.0
95086.0,0.0
95087.0,0.0
95088.0,1e+20
95089.0,0.0
95090.0,0.0
95091.0,1e+20
95092.0,0.0
95093.0,0.2703274408654579
95094.0,1e+20
95095.0,1e+20
95096.0,0.0
95097.0,1e+20
95098.0,1e+20
95099.0,0.0
95100.0,0.0
95101.0,1e+20
95102.0,0.0
95103.0,1e+20
95104.0,0.0
95105.0,1e+20
95106.0,1e+20
95107.0,1e+20
95108.0,0.0
95109.0,0.0
95110.0,1e+20
95111.0,1e+20
95112.0,0.0
95113.0,0.0
95114.0,1e+20
95115.0,1e+20
95116.0,0.0
95117.0,1e+20
95118.0,0.0
95119.0,1e+20
95120.0,1e+20
95121.0,0.0
95122.0,1e+20
95123.0,1e+20
95124.0,0.0
95125.0,0.0
95126.0,0.0
95127.0,1.5980919895537227
95128.0,1e+20
95129.0,0.0
95130.0,0.0
95131.0,1e+20
95132.0,0.0
95133.0,1e+20
95134.0,1e+20
95135.0,1e+20
95136.0,0.0
95137.0,1e+20
95138.0,0.0
95139.0,0.0
95140.0,0.0
95141.0,1e+20
95142.0,1e+20
95143.0,1e+20
95144.0,1e+20
95145.0,1e+20
95146.0,1e+20
95147.0,0.0
95148.0,1e+20
95149.0,0.0
95150.0,1e+20
95151.0,1e+20
95152.0,0.0
95153.0,0.0
95154.0,0.0
95155.0,0.0
95156.0,1e+20
95157.0,0.0
95158.0,1e+20
95159.0,0.0
95160.0,1e+20
95161.0,1e+20
95162.0,0.0
95163.0,1e+20
95164.0,1e+20
95165.0,0.0
95166.0,1e+20
95167.0,0.0
95168.0,0.0
95169.0,0.0
95170.0,0.0
95171.0,1e+20
95172.0,1e+20
95173.0,1e+20
95174.0,1e+20
95175.0,0.0
95176.0,0.0
95177.0,0.0
95178.0,0.0
95179.0,1e+20
95180.0,1e+20
95181.0,1e+20
95182.0,1e+20
95183.0,0.0
95184.0,0.0
95185.0,0.0
95186.0,0.0
95187.0,1e+20
95188.0,0.0
95189.0,0.0
95190.0,0.0
95191.0,1e+20
95192.0,1e+20
95193.0,1e+20
95194.0,1e+20
95195.0,0.0
95196.0,0.0
95197.0,1e+20
95198.0,1e+20
95199.0,1e+20
95200.0,0.0
95201.0,0.0
95202.0,0.0
95203.0,1e+20
95204.0,0.0
95205.0,1e+20
95206.0,1e+20
95207.0,1e+20
95208.0,1e+20
95209.0,1e+20
95210.0,0.0
95211.0,1e+20
95212.0,0.3910278876483062
95213.0,1e+20
95214.0,1e+20
95215.0,1e+20
95216.0,0.0
95217.0,1e+20
95218.0,1e+20
95219.0,0.0
95220.0,0.0
95221.0,0.0
95222.0,0.0
95223.0,0.0
95224.0,1e+20
95225.0,0.0
95226.0,0.0
95227.0,1e+20
95228.0,0.0
95229.0,0.0
95230.0,0.0
95231.0,0.0
95232.0,0.0
95233.0,1e+20
95234.0,1e+20
95235.0,1e+20
95236.0,0.0
95237.0,1e+20
95238.0,-4.547473508864641e-13
95239.0,0.0
95240.0,0.0
95241.0,1e+20
95242.0,1e+20
95243.0,0.0
95244.0,0.0
95245.0,0.0
95246.0,1e+20
95247.0,0.0
95248.0,0.0
95249.0,0.0
95250.0,1e+20
95251.0,1e+20
95252.0,1e+20
95253.0,1e+20
95254.0,1e+20
95255.0,0.0
95256.0,0.0
95257.0,1e+20
95258.0,1e+20
95259.0,0.0
95260.0,0.0
95261.0,1e+20
95262.0,0.0
95263.0,0.0
95264.0,1e+20
95265.0,1e+20
95266.0,1e+20
95267.0,0.0
95268.0,0.0
95269.0,1e+20
95270.0,1e+20
95271.0,1e+20
95272.0,1e+20
95273.0,0.0
95274.0,0.0
95275.0,0.0
95276.0,1e+20
95277.0,1e+20
95278.0,1e+20
95279.0,1e+20
95280.0,1e+20
95281.0,1e+20
95282.0,1e+20
95283.0,1.01939181768239
95284.0,1e+20
95285.0,1e+20
95286.0,1e+20
95287.0,0.0
95288.0,1e+20
95289.0,1.9280026228552742
95290.0,1e+20
95291.0,1e+20
95292.0,1e+20
95293.0,1e+20
95294.0,1e+20
95295.0,0.0
95296.0,1e+20
95297.0,1e+20
95298.0,1e+20
95299.0,1e+20
95300.0,1e+20
95301.0,1e+20
95302.0,1e+20
95303.0,1e+20
95304.0,1.8417738947578073
95305.0,1e+20
95306.0,1e+20
95307.0,1e+20
95308.0,1e+20
95309.0,1e+20
95310.0,1e+20
95311.0,1e+20
95312.0,1e+20
95313.0,1e+20
95314.0,1e+20
95315.0,1e+20
95316.0,1e+20
95317.0,1e+20
95318.0,0.0
95319.0,0.0
95320.0,0.0
95321.0,1e+20
95322.0,0.0
95323.0,0.0
95324.0,0.0
95325.0,9.094947017729282e-13
95326.0,0.0
95327.0,1e+20
95328.0,1e+20
95329.0,0.0
95330.0,0.0
95331.0,1e+20
95332.0,1e+20
95333.0,0.0
95334.0,1e+20
95335.0,1e+20
95336.0,1e+20
95337.0,0.0
95338.0,0.0
95339.0,0.0
95340.0,1.382969744005095
95341.0,1e+20
95342.0,1e+20
95343.0,0.0
95344.0,0.0
95345.0,1e+20
95346.0,0.0
95347.0,1e+20
95348.0,1e+20
95349.0,0.0
95350.0,0.0
95351.0,1e+20
95352.0,1e+20
95353.0,1e+20
95354.0,1e+20
95355.0,0.0
95356.0,0.0
95357.0,0.0
95358.0,0.0
95359.0,0.0
95360.0,1e+20
95361.0,1e+20
95362.0,1e+20
95363.0,0.0
95364.0,0.0
95365.0,1e+20
95366.0,1.6850324807633115
95367.0,1e+20
95368.0,1e+20
95369.0,1e+20
95370.0,0.0
95371.0,0.0
95372.0,0.0
95373.0,1e+20
95374.0,1e+20
95375.0,1e+20
95376.0,0.0
95377.0,1e+20
95378.0,1e+20
95379.0,0.0
95380.0,0.0
95381.0,1e+20
95382.0,0.0
95383.0,1e+20
95384.0,1e+20
95385.0,0.0
95386.0,1e+20
95387.0,0.0
95388.0,1e+20
95389.0,0.0
95390.0,1e+20
95391.0,1e+20
95392.0,1e+20
95393.0,0.0
95394.0,1e+20
95395.0,0.0
95396.0,1e+20
95397.0,1e+20
95398.0,1e+20
95399.0,1e+20
95400.0,1e+20
95401.0,1e+20
95402.0,1e+20
95403.0,1e+20
95404.0,1e+20
95405.0,0.0
95406.0,1e+20
95407.0,1e+20
95408.0,1e+20
95409.0,1e+20
95410.0,1e+20
95411.0,1e+20
95412.0,1e+20
95413.0,1e+20
95414.0,1e+20
95415.0,1e+20
95416.0,1e+20
95417.0,1e+20
95418.0,1e+20
95419.0,1e+20
95420.0,1e+20
95421.0,1e+20
95422.0,0.0
95423.0,0.0
95424.0,1e+20
95425.0,1e+20
95426.0,0.0
95427.0,1e+20
95428.0,0.0
95429.0,1e+20
95430.0,1.7942716866400588
95431.0,1e+20
95432.0,1e+20
95433.0,1e+20
95434.0,0.24921893486362023
95435.0,1e+20
95436.0,1e+20
95437.0,1e+20
95438.0,1e+20
95439.0,0.0
95440.0,0.0
95441.0,1.6738066095472277
95442.0,1e+20
95443.0,1e+20
95444.0,0.0
95445.0,1e+20
95446.0,0.0
95447.0,1e+20
95448.0,0.0
95449.0,1e+20
95450.0,0.0
95451.0,1e+20
95452.0,1e+20
95453.0,0.0
95454.0,0.0
95455.0,0.0
95456.0,1e+20
95457.0,0.0
95458.0,0.0
95459.0,0.0
95460.0,1e+20
95461.0,1e+20
95462.0,0.0
95463.0,0.0
95464.0,1e+20
95465.0,0.0
95466.0,1e+20
95467.0,0.0
95468.0,0.7454692338765199
95469.0,1e+20
95470.0,0.0
95471.0,1e+20
95472.0,0.0
95473.0,1e+20
95474.0,1e+20
95475.0,1e+20
95476.0,1e+20
95477.0,0.0
95478.0,0.0
95479.0,0.0
95480.0,1e+20
95481.0,1e+20
95482.0,1e+20
95483.0,0.0
95484.0,0.0
95485.0,1e+20
95486.0,1e+20
95487.0,0.0
95488.0,1e+20
95489.0,1e+20
95490.0,1e+20
95491.0,1e+20
95492.0,1e+20
95493.0,1e+20
95494.0,1e+20
95495.0,1e+20
95496.0,1e+20
95497.0,1e+20
95498.0,1e+20
95499.0,1e+20
95500.0,0.0
95501.0,0.3828763532060293
95502.0,1e+20
95503.0,0.40343002299323416
95504.0,1e+20
95505.0,1e+20
95506.0,4.547473508864641e-13
95507.0,0.0
95508.0,0.0
95509.0,0.0
95510.0,0.0
95511.0,0.0
95512.0,1.9993498723565608
95513.0,1e+20
95514.0,1e+20
95515.0,1e+20
95516.0,1e+20
